2017S008566    ,Sant Martí,el Poblenou,Ramon Turró / Ciutat de Granada                   ,Wednesday,October,Morning,3
2017S002006    ,Sant Martí,el Poblenou,AV LITORAL                                        ,Sunday,March,Night,1
2017S004941    ,Sant Martí,el Poblenou,Llull                                             ,Tuesday,June,Morning,1
2017S002347    ,Sant Martí,el Poblenou,LLULL / Ciutat de Granada                         ,Thursday,March,Afternoon,1
2017S010097    ,Sant Martí,el Poblenou,Badajoz / Icària                                  ,Sunday,December,Morning,1
2017S000122    ,Sant Martí,el Poblenou,RBLA PRIM / GV Corts Catalanes                    ,Thursday,January,Afternoon,0
2017S003738    ,Sant Martí,Provençals del Poblenou,Espronceda                                        ,Thursday,April,Morning,1
2017S007503    ,Sant Martí,Provençals del Poblenou,Espronceda / Perú                                 ,Saturday,September,Afternoon,2
2017S001061    ,Sant Martí,Provençals del Poblenou,CTRA C-31                                         ,Wednesday,February,Afternoon,0
2017S007904    ,Sant Martí,Provençals del Poblenou,Corts Catalanes / Bac de Roda                     ,Sunday,September,Morning,1
2017S010082    ,Sant Martí,Provençals del Poblenou,Espronceda / Corts Catalanes                      ,Saturday,December,Morning,0
2017S004702    ,Sant Martí,Provençals del Poblenou,C-31                                              ,Sunday,May,Morning,2
2017S008946    ,Sant Martí,Provençals del Poblenou,Marroc / Bac de Roda                              ,Sunday,October,Afternoon,1
2017S006672    ,Sant Martí,Provençals del Poblenou,C-31                                              ,Tuesday,August,Afternoon,1
2017S005878    ,Sant Martí,Provençals del Poblenou,Corts Catalanes / Selva de Mar                    ,Wednesday,July,Afternoon,0
2017S009684    ,Sant Martí,Provençals del Poblenou,Josep Pla / Perú                                  ,Tuesday,November,Night,1
2017S001113    ,Sant Martí,Provençals del Poblenou,BILBAO / GV Corts Catalanes                       ,Friday,February,Morning,1
2017S003816    ,Sant Martí,Provençals del Poblenou,Perú / Selva de Mar                               ,Saturday,April,Afternoon,1
2017S005995    ,Sant Martí,Provençals del Poblenou,Perú                                              ,Monday,July,Afternoon,1
2017S000591    ,Sant Martí,Provençals del Poblenou,SELVA DE MAR / GV Corts Catalanes                 ,Sunday,January,Afternoon,1
2017S001862    ,Sant Martí,Provençals del Poblenou,PERE IV / Fluvià                                  ,Tuesday,March,Morning,1
2017S003392    ,Sant Martí,Provençals del Poblenou,Veneçuela / Selva de Mar                          ,Friday,April,Morning,1
2017S007682    ,Sant Martí,Provençals del Poblenou,Diagonal / Bilbao                                 ,Saturday,September,Night,1
2017S004402    ,Sant Martí,Provençals del Poblenou,Perú / Poblenou                                   ,Thursday,May,Morning,1
2017S001437    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,PROVENÇALS / Pujades                              ,Tuesday,February,Morning,1
